Code département;Département;Code circonscription;Libellé circonscription;Numéro de panneau;Sexe du candidat;Nom du candidat;Prénom du candidat;Nationalité du candidat;Code personnalité
987;Polynésie française;98711SN01;Anaa Section 01 ANAA;;M;BURNS;Léonard;Française;
987;Polynésie française;98711SN01;Anaa Section 01 ANAA;;F;BURNS;Léonne Teriihoanuu;Française;
987;Polynésie française;98711SN01;Anaa Section 01 ANAA;;F;DEXTER;Madeleine;Française;
987;Polynésie française;98711SN01;Anaa Section 01 ANAA;;M;DEXTER;Jean-Baptiste;Française;
987;Polynésie française;98711SN01;Anaa Section 01 ANAA;;F;GATATA ÉPSE PAEAHI;Edwina;Française;
987;Polynésie française;98711SN01;Anaa Section 01 ANAA;;F;HAUATA;Vaihani;Française;
987;Polynésie française;98711SN01;Anaa Section 01 ANAA;;M;HAUATA;Maximilien;Française;
987;Polynésie française;98711SN01;Anaa Section 01 ANAA;;F;LEE EPOUSE TRINQUIER;Marie-Laure Vaea;Française;
987;Polynésie française;98711SN01;Anaa Section 01 ANAA;;F;MARO;Veronika;Française;
987;Polynésie française;98711SN01;Anaa Section 01 ANAA;;M;MARO;Joseph;Française;
987;Polynésie française;98711SN01;Anaa Section 01 ANAA;;F;MARO;Christiane;Française;
987;Polynésie française;98711SN01;Anaa Section 01 ANAA;;F;MARO ÉPOUSE TANE;Celestine Marie Reva;Française;
987;Polynésie française;98711SN01;Anaa Section 01 ANAA;;F;MATAI;Maima Valentine;Française;
987;Polynésie française;98711SN01;Anaa Section 01 ANAA;;F;PITA;Jacinthe;Française;
987;Polynésie française;98711SN01;Anaa Section 01 ANAA;;F;PITA ÉPOUSE TEMARII;Reiatua;Française;
987;Polynésie française;98711SN01;Anaa Section 01 ANAA;;M;RAVEINO;Rustique;Française;
987;Polynésie française;98711SN01;Anaa Section 01 ANAA;;M;TANE;Moeava;Française;
987;Polynésie française;98711SN01;Anaa Section 01 ANAA;;F;TARAHU;Milda Rereata;Française;
987;Polynésie française;98711SN01;Anaa Section 01 ANAA;;F;TAUTU BURNS;Sabine Taumuri;Française;
987;Polynésie française;98711SN01;Anaa Section 01 ANAA;;F;TEIHOTUA ÉPOUSE TEVAEARAI;Annette;Française;
987;Polynésie française;98711SN01;Anaa Section 01 ANAA;;F;TEPAHOTO;Caroline;Française;
987;Polynésie française;98711SN01;Anaa Section 01 ANAA;;F;TEVAITAU ÉPSE TERAI;Clarisse Moeata;Française;
987;Polynésie française;98711SN01;Anaa Section 01 ANAA;;F;TUAIRA;Marie-Jeanne;Française;
987;Polynésie française;98711SN01;Anaa Section 01 ANAA;;M;TUHAKAMARU;Hekenoa Pebino;Française;
987;Polynésie française;98711SN01;Anaa Section 01 ANAA;;F;TUHAKAMARU;Vairite;Française;
987;Polynésie française;98711SN01;Anaa Section 01 ANAA;;M;TUHOE;Mahinui;Française;
987;Polynésie française;98711SN01;Anaa Section 01 ANAA;;F;TUHOE;Leila;Française;
987;Polynésie française;98711SN01;Anaa Section 01 ANAA;;M;URAINA;François Turatahi;Française;
987;Polynésie française;98711SN01;Anaa Section 01 ANAA;;M;UTIA;David;Française;
987;Polynésie française;98711SN01;Anaa Section 01 ANAA;;F;UTIA;Bernice Havaiki;Française;
987;Polynésie française;98711SN01;Anaa Section 01 ANAA;;M;WILLIAMS;Tavi Christian;Française;
987;Polynésie française;98711SN01;Anaa Section 01 ANAA;;M;YIP;Calixte Robert Teroki;Française;
987;Polynésie française;98711SN02;Anaa Section 02 FAAITE;;F;BROWN;Sylvie Tahia;Française;
987;Polynésie française;98711SN02;Anaa Section 02 FAAITE;;M;HAAPII;Basile;Française;
987;Polynésie française;98711SN02;Anaa Section 02 FAAITE;;M;HAUATA;Leon;Française;
987;Polynésie française;98711SN02;Anaa Section 02 FAAITE;;M;MAU;Raimana;Française;
987;Polynésie française;98711SN02;Anaa Section 02 FAAITE;;F;MAUATI;Sabine;Française;
987;Polynésie française;98711SN02;Anaa Section 02 FAAITE;;F;NOHO;Amanda-Heimana;Française;
987;Polynésie française;98711SN02;Anaa Section 02 FAAITE;;F;PITO;Vaite Rosalie;Française;
987;Polynésie française;98711SN02;Anaa Section 02 FAAITE;;F;TAPI;Adeline Matuatua;Française;
987;Polynésie française;98711SN02;Anaa Section 02 FAAITE;;M;TAPI;Vaiarii Moe;Française;
987;Polynésie française;98711SN02;Anaa Section 02 FAAITE;;M;TAPI;Hans;Française;
987;Polynésie française;98711SN02;Anaa Section 02 FAAITE;;M;TEATA;Michel;Française;
987;Polynésie française;98711SN02;Anaa Section 02 FAAITE;;F;TEATA;Marie-Rose;Française;
987;Polynésie française;98711SN02;Anaa Section 02 FAAITE;;F;TEATA;Ruaragi;Française;
987;Polynésie française;98711SN02;Anaa Section 02 FAAITE;;M;TEIKIHAKAUPOKO;Poetai;Française;
987;Polynésie française;98711SN02;Anaa Section 02 FAAITE;;M;TEIRI;Gerard;Française;
987;Polynésie française;98711SN02;Anaa Section 02 FAAITE;;M;TETOOFA;Rémi Tekehu;Française;
987;Polynésie française;98711SN02;Anaa Section 02 FAAITE;;M;TEUA;Thomas;Française;
987;Polynésie française;98711SN02;Anaa Section 02 FAAITE;;M;TEURI;Hauroa Roger;Française;
987;Polynésie française;98711SN02;Anaa Section 02 FAAITE;;M;TIAIHO;Taihoro Desmey;Française;
987;Polynésie française;98711SN02;Anaa Section 02 FAAITE;;M;TUFAKAMARU;Jacques;Française;
987;Polynésie française;98711SN02;Anaa Section 02 FAAITE;;F;TUFAKAMARU;Ragihere;Française;
987;Polynésie française;98711SN02;Anaa Section 02 FAAITE;;M;TUFAUNUI;Léonard Reonari;Française;
987;Polynésie française;98711SN02;Anaa Section 02 FAAITE;;M;WILLIAMS;Fernand Fariua;Française;
987;Polynésie française;98711SN02;Anaa Section 02 FAAITE;;M;WILLIAMS;Joseph Vitua;Française;
987;Polynésie française;98711SN02;Anaa Section 02 FAAITE;;M;WILLIAMS;Albert;Française;
987;Polynésie française;98717SN01;Fangatau Section 01 FAKAHINA;;F;AHINI;Rautea Robertha;Française;
987;Polynésie française;98717SN01;Fangatau Section 01 FAKAHINA;;F;ARUTAHI;Nadia Rangitake;Française;
987;Polynésie française;98717SN01;Fangatau Section 01 FAKAHINA;;F;ATGER;Amélia;Française;
987;Polynésie française;98717SN01;Fangatau Section 01 FAKAHINA;;M;HAPIPI;Tunui Rogatien;Française;
987;Polynésie française;98717SN01;Fangatau Section 01 FAKAHINA;;F;IOANE;Ghislaine Isabelle Raita;Française;
987;Polynésie française;98717SN01;Fangatau Section 01 FAKAHINA;;F;MARUAKE;Talida Heimaru;Française;
987;Polynésie française;98717SN01;Fangatau Section 01 FAKAHINA;;M;MARUAKE;Albert Mapu;Française;
987;Polynésie française;98717SN01;Fangatau Section 01 FAKAHINA;;M;NUI;Clément;Française;
987;Polynésie française;98717SN01;Fangatau Section 01 FAKAHINA;;F;PUA;Nadia;Française;
987;Polynésie française;98717SN01;Fangatau Section 01 FAKAHINA;;M;RAI;Jean-Philippe;Française;
